bedrooms,bathrooms,sqft_living,sqft_lot,floors,zipcode,price
3,1.5,1500,5000,2,98105,450000
4,2.5,2400,6500,2,98125,550000
3,2,1800,8000,1,98030,360000
4,3,2800,7000,2,98052,600000
2,1,1200,4000,1,98103,300000
5,3.5,3500,10000,2,98115,700000
4,2,2000,6000,1.5,98008,480000
3,1,1300,5500,1,98002,320000
2,2,1600,7500,1,98117,380000
3,1.5,1700,4300,2,98112,410000
4,2,2000,7200,1,98106,420000
3,2,2200,6000,1,98119,480000
2,1,1100,4500,1,98055,280000
5,3.5,3300,9500,2,98107,600000
4,2.5,2500,6800,2,98034,550000
3,1.5,1600,5000,1,98122,410000
4,2,2300,7000,2,98118,490000
2,1,1200,5500,1,98144,320000
5,3.5,3200,9000,2,98116,650000
3,2,1900,6000,1,98027,400000
4,2.5,2400,7200,2,98126,520000
3,1.5,1700,4000,1.5,98074,370000
2,2,1400,4800,1,98077,330000
4,3,2600,8000,2,98033,580000
3,1.5,1800,4500,2,98109,420000
5,2.5,2800,8500,2,98136,550000
